EG	MUL	CG
856.2(1)	(M1+E2)	$R{-DCO}(Q)=0.98 {I16}.
863.9(1)	(M1+E2)	$R{-DCO}(D)=0.83 {I15}.
870.0(1)	(M1+E2)	$R{-DCO}(D)=2.40 {I17}.
873.6(1)	E2	$R{-DCO}(Q)=1.22 {I2}.
876.0(1)	E2	$R{-DCO}(D)=2.05 {I14}.
881.5(1)	E2	$R{-DCO}(D)=1.66 {I8}.
888.5(1)	M1+E2	$R{-DCO}(D)=1.2 {I5}.
892.0(2)	(M1+E2)	$R{-DCO}(Q)=0.60 {I4}.
896.7(1)	M1+E2	$R{-DCO}(D)=0.87 {I2}.
902.8(1)		
909.2(2)	(E2)	$R{-DCO}(D)=1.75 {I10}.
912.5(1)	(M1+E2)	$R{-DCO}(D)=1.20 {I2}.
938.5(1)	(M1+E2)	$R{-DCO}(D)=0.63.
957.8(1)	(E2)	$R{-DCO}(D)=1.8 {I3}.
975.0(3)	E2	$R{-DCO}(D)=1.56 {I11}.
998.1(1)	(E2)	
1002.6(1)	M1+E2	$R{-DCO}(D)=1.3 {I5}.
1014.2(1)	(M1+E2)	$R{-DCO}(D)=0.78 {I8}.
1038.4(1)	(M1+E2)	$R{-DCO}(Q)=0.78 {I4}.
1047.2(1)	E2	$R{-DCO}(Q)=1.00 {I3}, POL=0.01 {I2}.
1059.8(1)	E2	$R{-DCO}(D)=1.7 {I1}, POL=0.09 {I5}.
1084.0(1)		
1087.7(1)	E2	$R{-DCO}(D)=1.8 {I3}, POL=0.10 {I8}.
1100.5(4)	(M1+E2)	$R{-DCO}(D)=0.60 {I3}.
1121.8(1)	(E2)	$R{-DCO}(Q)=1.0 {I2}.
1136.6(1)	M1+E2	$R{-DCO}(D)=0.82 {I6}, POL=-0.05 {I4}.
