Eγ​ (keV),Iγ​ 1975VA02
146,101±4
640,<0.012
770,<0.010
1176,32.2±1.0
1573,0.026±0.005
1987,0.409±0.011
2127,100
2560,0.072±0.014
2749,0.049±0.005
3304,25.4±0.8
4115,0.52±0.03
