  Ef=2158.1 Eg=4210.9 Ig=2.5
  Ef=2181.2 Eg=4187.8 Ig=3
  Ef=2579.9 Eg=3789.1 Ig=7
  Ef=2610.6 Eg=3758.4 Ig=1
  Ef=2721.4 Eg=3647.6 Ig=6
  Ef=3128.9 Eg=3240.1 Ig=1
  Ef=3383.6 Eg=2985.4 Ig=0.5
  Ef=3545.2 Eg=2823.8 Ig=2
  Ef=3964.2 Eg=2404.8 Ig=0.5
  Ef=3982.2 Eg=2386.8 Ig=0.5
  Ef=4352.9 Eg=2016.1 Ig=2.5
  Ef=4515.3 Eg=1853.7 Ig=1
  Ef=4638.3 Eg=1730.7 Ig=0.5
  Ef=4959.0 Eg=1410.0 Ig=1

Ei=6380 Eplab=1277
  Ef=146.5 Eg=6233.5 Ig=39
  Ef=665.7 Eg=5714.3 Ig=2
  Ef=2375.6 Eg=4004.4 Ig=2.5
  Ef=2610.6 Eg=3769.4 Ig=4
  Ef=2721.4 Eg=3658.6 Ig=1
  Ef=3333.9 Eg=3046.1 Ig=2.5
  Ef=3545.2 Eg=2834.8 Ig=3.5
  Ef=3600.3 Eg=2779.7 Ig=8
  Ef=3982.2 Eg=2397.8 Ig=2
  Ef=4075.9 Eg=2304.1 Ig=2.5
  Ef=4605.8 Eg=1774.2 Ig=14
  Ef=4609.7 Eg=1770.3 Ig=19

Ei=6397 Eplab=1295
  Ef=146.5 Eg=6250.5 Ig=55
  Ef=1230.5 Eg=5166.5 Ig=5
  Ef=2375.6 Eg=4021.4 Ig=3
  Ef=2721.4 Eg=3675.6 Ig=2
  Ef=3383.6 Eg=3013.4 Ig=32
  Ef=3600.3 Eg=2796.7 Ig=3

Ei=6439 Eplab=1338
  Ef=146.5 Eg=6292.5 Ig=8
  Ef=461.2 Eg=5977.8 Ig=6
  Ef=665.7 Eg=5773.3 Ig=4
  Ef=2158.1 Eg=4280.9 Ig=73
  Ef=3383.6 Eg=3055.4 Ig=7
  Ef=4075.9 Eg=2363.1 Ig=2

Ei=6450 Eplab=1349
  Ef=146.5 Eg=6303.5 Ig=48
  Ef=2181.2 Eg=4268.8 Ig=2
  Ef=2610.6 Eg=3839.4 Ig=14
  Ef=3545.2 Eg=2904.8 Ig=3.5
  Ef=3600.3 Eg=2849.7 Ig=18
  Ef=3631.1 Eg=2818.9 Ig=5
  Ef=4075.9 Eg=2374.1 Ig=2
  Ef=4444.7 Eg=2005.3 Ig=3.5
  Ef=4605.8 Eg=1844.2 Ig=4
  Ef=4609.7 Eg=1840.3 Ig=< 2

Ei=6477 Eplab=1377
  Ef=461.2 Eg=6015.8 Ig=65
  Ef=665.7 Eg=5811.3 Ig=12
  Ef=2579.9 Eg=3897.1 Ig=6
  Ef=3773.9 Eg=2703.1 Ig=<2
  Ef=4352.9 Eg=2124.1 Ig=17

Ei=6486 Eplab=1386
  Ef=0 Eg=6486 Ig=20
  Ef=461.2 Eg=6024.8 Ig=8
  Ef=665.7 Eg=5820.3 Ig=2
